conjunto,entidade,ano,pago_real,score_combinado,n_sinais,sinais,desvio_padronizado,score_anomalia_2_3,sinal_flag,sinal_outlier
B,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",2020,435832159.72414535,0.4789293849658315,2,outlier_multivariado(score=0.96),,0.957858769931663,0.0,0.957858769931663
B,Fundação Universidade Federal do Vale do São Francisco,2016,292471345.2511721,0.478502080443828,2,outlier_multivariado(score=0.96),,0.957004160887656,0.0,0.957004160887656
B,Universidade Federal do Sul e Sudeste do Pará,2018,160431721.36894086,0.478502080443828,2,outlier_multivariado(score=0.96),,0.957004160887656,0.0,0.957004160887656
B,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2021,586818987.3860836,0.4765625,2,outlier_multivariado(score=0.95),,0.953125,0.0,0.953125
B,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2022,609196084.6055093,0.4765625,2,outlier_multivariado(score=0.95),,0.953125,0.0,0.953125
B,Fundação Universidade Federal da Grande Dourados,2018,394596219.31408197,0.4746879334257975,2,outlier_multivariado(score=0.95),,0.949375866851595,0.0,0.949375866851595
A,ATIVOS CIVIS DA UNIAO,2025,29084376005.9,0.47435897435897434,2,outlier_multivariado(score=0.95),,0.9487179487179487,0.0,0.9487179487179487
B,Universidade Federal de Minas Gerais,2017,3568720538.316269,0.47156726768377255,2,outlier_multivariado(score=0.94),,0.9431345353675451,0.0,0.9431345353675451
B,"Instituto Federal de Educação, Ciência e Tecnologia Goiano",2020,392085597.6074808,0.4703872437357631,2,outlier_multivariado(score=0.94),,0.9407744874715263,0.0,0.9407744874715263
B,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",2025,1009321217.98,0.46924829157175396,2,outlier_multivariado(score=0.94),,0.9384965831435079,0.0,0.9384965831435079
B,Universidade Federal de Minas Gerais,2015,3387930552.0099535,0.46914008321775313,2,outlier_multivariado(score=0.94),,0.9382801664355063,0.0,0.9382801664355063
B,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",2017,110828231.81839526,0.46867881548974943,2,outlier_multivariado(score=0.94),,0.9373576309794989,0.0,0.9373576309794989
B,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",2017,716774948.8397893,0.4681093394077449,2,outlier_multivariado(score=0.94),,0.9362186788154898,0.0,0.9362186788154898
B,Fundação Universidade de Brasília,2020,2399398030.0343657,0.4670596393897365,2,outlier_multivariado(score=0.93),,0.934119278779473,0.0,0.934119278779473
B,Universidade Federal do Estado do Rio de Janeiro,2025,693404170.92,0.4653259361997226,2,outlier_multivariado(score=0.93),,0.9306518723994452,0.0,0.9306518723994452
B,Fundação Universidade Federal do Amapá,2021,223412511.3968153,0.4653259361997226,2,outlier_multivariado(score=0.93),,0.9306518723994452,0.0,0.9306518723994452
B,Universidade Federal do Agreste de Pernambuco,2025,88447822.3,0.46497919556171985,2,outlier_multivariado(score=0.93),,0.9299583911234397,0.0,0.9299583911234397
B,"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia",2016,242173060.9933028,0.4646924829157175,2,outlier_multivariado(score=0.93),,0.929384965831435,0.0,0.929384965831435
B,Universidade Federal de Goiás,2016,1957786089.4072223,0.4646324549237171,2,outlier_multivariado(score=0.93),,0.9292649098474342,0.0,0.9292649098474342
B,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2015,132945148.63165757,0.4646324549237171,2,outlier_multivariado(score=0.93),,0.9292649098474342,0.0,0.9292649098474342
B,Universidade Federal de Juiz de Fora,2017,1341246710.0974555,0.46255201109570043,2,outlier_multivariado(score=0.93),,0.9251040221914009,0.0,0.9251040221914009
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2018,1165295504.841902,0.4624145785876993,2,outlier_multivariado(score=0.92),,0.9248291571753986,0.0,0.9248291571753986
B,Universidade Federal de Minas Gerais,2025,2902562910.49,0.4618585298196949,2,outlier_multivariado(score=0.92),,0.9237170596393898,0.0,0.9237170596393898
A,APOIO AO FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO SUPERIOR,2022,18506336.573606167,0.46153846153846156,2,outlier_multivariado(score=0.92),,0.9230769230769231,0.0,0.9230769230769231
B,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",2016,473008334.9232091,0.46070615034168566,2,outlier_multivariado(score=0.92),,0.9214123006833713,0.0,0.9214123006833713
B,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",2017,906164719.3307806,0.45956719817767655,2,outlier_multivariado(score=0.92),,0.9191343963553531,0.0,0.9191343963553531
A,ATIVOS CIVIS DA UNIAO,2018,30160015973.785927,0.45940170940170943,2,outlier_multivariado(score=0.92),,0.9188034188034189,0.0,0.9188034188034189
A,ATIVOS CIVIS DA UNIAO,2019,30272267705.635883,0.4594017094017094,2,outlier_multivariado(score=0.92),,0.9188034188034188,0.0,0.9188034188034188
B,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",2025,1045922028.61,0.45785876993166286,2,outlier_multivariado(score=0.92),,0.9157175398633257,0.0,0.9157175398633257
B,Universidade Federal Fluminense,2017,3333930734.8760934,0.4573509015256588,2,outlier_multivariado(score=0.91),,0.9147018030513177,0.0,0.9147018030513177
B,Fundação Universidade Federal da Grande Dourados,2016,365929204.12423706,0.4573509015256588,2,outlier_multivariado(score=0.91),,0.9147018030513177,0.0,0.9147018030513177
A,ATIVOS CIVIS DA UNIAO,2022,25903216487.6179,0.4572649572649573,2,outlier_multivariado(score=0.91),,0.9145299145299146,0.0,0.9145299145299146
A,ATIVOS CIVIS DA UNIAO,2023,25744429261.90646,0.4572649572649573,2,outlier_multivariado(score=0.91),,0.9145299145299146,0.0,0.9145299145299146
A,ATIVOS CIVIS DA UNIAO,2024,25613456114.62273,0.45726495726495725,2,outlier_multivariado(score=0.91),,0.9145299145299145,0.0,0.9145299145299145
B,Universidade Federal de Minas Gerais,2016,3384861139.1631613,0.4566574202496533,2,outlier_multivariado(score=0.91),,0.9133148404993066,0.0,0.9133148404993066
B,Universidade Federal do Sul da Bahia,2016,108175134.4463576,0.4563106796116505,2,outlier_multivariado(score=0.91),,0.912621359223301,0.0,0.912621359223301
B,Universidade Federal do Sul da Bahia,2018,147649816.31659886,0.4563106796116505,2,outlier_multivariado(score=0.91),,0.912621359223301,0.0,0.912621359223301
B,Universidade Federal do Rio Grande do Sul,2016,2562576811.626036,0.4552704576976422,2,outlier_multivariado(score=0.91),,0.9105409153952844,0.0,0.9105409153952844
