ano,chave_serie,empenhado,liquidado,pago,empenhado_real,liquidado_real,pago_real,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,serie_curta,ano_parcial,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia
2014,1073-11G1,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11G1,IMPLANTACAO DA UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA - UNILA,,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11G4,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11G4,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO CEARÁ (UFC),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11GA,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11GA,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO (UFES),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11GD,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11GD,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE GOIÁS (UFG),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11GI,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11GI,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL FLUMINENSE (UFF),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11GN,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11GN,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE JUIZ DE FORA (UFJF),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11H4,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11H4,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO PARÁ (UFPA),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11H5,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11H5,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DA PARAIBA (UFPB),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11HK,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11HK,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO PARANÁ (UFPR),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11I0,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11I0,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
